noise,pollution,date,light,raining,street_id
12.7885,0.5002,2030-01-01T00:00:00.000Z,65.5006,7.8124,1
14.7294,13.534,2030-01-01T00:00:01.000Z,77.8436,3.0429,2
8.4384,0.5959,2030-01-01T00:00:02.000Z,64.3728,17.6874,3
0.5307,3.9768,2030-01-01T00:00:03.000Z,72.9977,19.073,4
4.4088,11.7853,2030-01-01T00:00:04.000Z,76.1886,0.2275,5
16.1164,13.9628,2030-01-01T00:00:05.000Z,66.805,5.4418,6
19.1443,6.7319,2030-01-01T00:00:06.000Z,61.8549,3.3851,7
16.9499,12.0745,2030-01-01T00:00:07.000Z,76.1426,25.5406,8
10.7246,19.4623,2030-01-01T00:00:08.000Z,67.5707,19.3214,9
16.5881,12.3704,2030-01-01T00:00:09.000Z,77.2341,20.2073,10
14.0914,0.9165,2030-01-01T00:00:10.000Z,64.558,10.1286,11
1.5958,4.6558,2030-01-01T00:00:11.000Z,62.02,9.7291,12
12.7137,7.2966,2030-01-01T00:00:12.000Z,67.4036,7.3327,13
5.3396,18.7331,2030-01-01T00:00:13.000Z,72.9607,21.3196,14
3.4228,14.5825,2030-01-01T00:00:14.000Z,63.268,13.2809,15
19.7905,12.8,2030-01-01T00:00:15.000Z,71.139,23.9615,16
16.857,15.52,2030-01-01T00:00:16.000Z,64.581,1.1235,17
6.3091,5.3548,2030-01-01T00:00:17.000Z,64.2197,33.0018,18
17.5274,6.2936,2030-01-01T00:00:18.000Z,73.1088,13.8471,19
18.291,9.177,2030-01-01T00:00:19.000Z,65.2976,8.632,20
11.2274,5.2548,2030-01-01T00:00:20.000Z,71.6917,31.4238,21
7.988,4.3864,2030-01-01T00:00:21.000Z,79.9508,17.8334,22
1.8182,0.9423,2030-01-01T00:00:22.000Z,62.193,21.9606,23
15.8416,8.4432,2030-01-01T00:00:23.000Z,61.2706,13.3567,24
19.9224,10.5823,2030-01-01T00:00:24.000Z,79.4216,30.1273,25
0.2296,14.4144,2030-01-01T00:00:25.000Z,73.6342,18.794,26
5.3365,12.8192,2030-01-01T00:00:26.000Z,62.231,15.2168,27
9.0745,19.0763,2030-01-01T00:00:27.000Z,77.5171,9.2186,28
10.0117,3.573,2030-01-01T00:00:28.000Z,78.2526,30.4681,29
5.9689,12.779,2030-01-01T00:00:29.000Z,72.1794,5.3494,30
15.2502,10.7876,2030-01-01T00:00:30.000Z,75.5725,18.5624,31
0.0114,6.4831,2030-01-01T00:00:31.000Z,60.3895,32.5185,32
17.5744,16.6333,2030-01-01T00:00:32.000Z,66.1503,2.0274,33
17.5602,18.939,2030-01-01T00:00:33.000Z,61.7131,17.0097,34
1.3843,15.212,2030-01-01T00:00:34.000Z,75.3167,4.4937,35
